node_id,x_um,y_um,sentaurus_holes_cm3,vela_holes_cm3,delta_log10_holes_decade,delta_psi_V,delta_phip_V,delta_phip_minus_psi_V,predicted_delta_log10_holes_decade,density_relation_residual_decade,minus_100mV_plateau
58,0.75,-0.0,2473.0850671812827,2475.645503402515,0.0004494014800402354,-0.004083443505776607,-0.0040562797622010205,2.7163743575586707e-05,0.0004563308076809726,-6.92932764073716e-06,0
59,0.75,0.125,2413.2923464848764,2394.429145146352,-0.003407945449376422,-0.003871246677474627,-0.004073697141687038,-0.00020245046421241142,-0.003401018110495918,-6.927338880503842e-06,0
60,0.65625,0.1875,1948.076406270686,1949.568195334653,0.00033244477447409726,-0.0018339648946721354,-0.0018137642642637175,2.0200630408417908e-05,0.0003393556548745714,-6.910880400474149e-06,0
61,0.65625,0.25,1900.394903302343,1900.812007423648,9.530973885043882e-05,-0.001287973941308973,-0.0012818892248502856,6.084716458687467e-06,0.00010221873757481847,-6.908998724379655e-06,0
62,0.75,0.1875,2365.1180769120574,2373.984253088623,0.00162500643090744,-0.002255711439308694,-0.0021585683451512683,9.714309415742584e-05,0.0016319321559686542,-6.925725061214267e-06,0
63,0.75,0.25,2322.37108187611,2347.5494557918414,0.004683135280322119,-0.000794522433560374,-0.0005153399338229114,0.00027918249973746256,0.004690059573014413,-6.9242926922933115e-06,0
64,0.46875,0.3125,65.52056340145253,112.48356103795456,0.2347114337157409,-0.0006322860792389307,0.013339643540630775,0.013971929619869705,0.23471808701754523,-6.653301804326883e-06,0
65,0.46875,0.375,28.819316891052015,29.87686884964122,0.015651398226897827,-0.0004922664042856795,0.00043979778120206703,0.0009320641854877465,0.015657989164512442,-6.590937614615183e-06,0
66,0.5625,0.3125,1193.5970834823909,1194.2071426020245,0.00022191544194628043,-0.0008766845522307776,-0.0008630655525214692,1.3618999709308355e-05,0.00022878912547021345,-6.873683523933024e-06,0
67,0.5625,0.375,1101.7540942061933,1103.0439168951496,0.000508130846933868,-0.0006904293406626572,-0.0006597733217779123,3.0656018884744896e-05,0.0005149984507485777,-6.86760381470974e-06,0
68,0.46875,0.4375,12.969098063378535,0.2737758259681623,-1.675514676220415,-0.00035996326567921955,-0.10009698050909055,-0.09973701724341133,-1.6755081459126144,-6.530307800511892e-06,1
69,0.46875,0.5,6.941520555794431,0.14585950383984336,-1.6775198821454405,-0.00023442892940517268,-0.10009081174679801,-0.09985638281739284,-1.6775133992987215,-6.482846719002566e-06,1
70,0.5625,0.4375,859.6920736484223,863.6172055508442,0.0019783634828156936,-0.0005112025540858767,-0.0003930299574301799,0.0001181725966556968,0.0019852122490994755,-6.848766283781924e-06,0
71,0.5625,0.5,428.26787511777803,486.6910889766327,0.05553789597036947,-0.00032223753998339433,0.002984139632750349,0.003306377172733743,0.05554469182545032,-6.795855080850288e-06,0
72,0.65625,0.3125,1850.1410092937044,1850.1242900594305,-3.924621938957475e-06,-0.0010464247081891642,-0.00104624718002988,1.775281592841793e-07,2.9823418148106314e-06,-6.906963753768107e-06,0
73,0.65625,0.375,1755.820380331298,1756.125623639892,7.549403364633414e-05,-0.0008722207552747108,-0.000867315954636183,4.904800638527718e-06,8.239702420490694e-05,-6.902990558572798e-06,0
74,0.75,0.3125,2268.7734631953876,2269.051499263784,5.321912212335423e-05,-0.0010640794682155175,-0.0010604994521257183,3.5800160897991873e-06,6.014162330840125e-05,-6.922501185047022e-06,0
75,0.75,0.375,2175.3401053458574,2175.008203628175,-6.626737657119502e-05,-0.0010854442694521182,-0.0010889770484330263,-3.532778980908091e-06,-5.934807480530902e-05,-6.919301765886001e-06,0
76,0.65625,0.4375,1569.6158854745909,1570.6227190406064,0.00027848984231336086,-0.0006837986824450581,-0.0006668107728589057,1.6987909586152483e-05,0.00028538432048914896,-6.894478175788101e-06,0
77,0.65625,0.5,1323.948191978121,1325.1795205998378,0.0004037247897053944,-0.00042154469305577535,-0.0003971027635767399,2.444192947903545e-05,0.0004106063433198461,-6.88155361445173e-06,0
78,0.75,0.4375,2030.9096263286508,2030.5588834618575,-7.501015537940345e-05,-0.0010219579381116617,-0.0010260114546802868,-4.053516568625071e-06,-6.809608125484341e-05,-6.914074124560041e-06,0
79,0.75,0.5,1870.6086303764087,1869.949948262704,-0.00015295149334147593,-0.0007421469973993844,-0.0007508404559852799,-8.693458585895542e-06,-0.00014604367645438255,-6.907816887093376e-06,0
80,0.09375,0.5625,14.166579872780984,0.2964832910041378,-1.6792647918337569,-2.4704558545529665e-06,-0.09996271829212589,-0.09996024783627133,-1.6792582548199324,-6.53701382447025e-06,1
81,-0.0,0.5625,15.21818063599983,0.3185087949646371,-1.6792413057771125,-1.6054953313471287e-06,-0.09996045496686001,-0.09995884947152867,-1.6792347633261817,-6.542450930790977e-06,1
82,0.09375,0.625,18.761446434151125,0.39274530121727713,-1.6791553198716804,-1.685188010913663e-06,-0.09995541527952456,-0.09995373009151365,-1.679148761527108,-6.5583445725270195e-06,1
83,-0.0,0.625,19.974615713601583,0.4181555057480154,-1.6791406133843512,-1.2532570421441847e-06,-0.09995410764066515,-0.099952854383623,-1.679134050282028,-6.563102323164927e-06,1
84,0.1875,0.5625,11.269659984474673,0.2358211989956182,-1.6793279700601826,-6.824464791499452e-06,-0.0999708341093295,-0.099964009644538,-1.6793214504173983,-6.519642784308388e-06,1
85,0.1875,0.625,15.351639337943269,0.3213377726932382,-1.6791929796883627,-3.7286316665330332e-06,-0.09995970138421661,-0.09995597275255008,-1.6791864365743363,-6.543114026369423e-06,1
86,0.09375,0.6875,24.498044276667045,0.5129303723749172,-1.6790729993317146,-1.1969152549085038e-06,-0.09995002555302568,-0.09994882863777077,-1.6790664207282753,-6.578603439333364e-06,1
87,-0.0,0.6875,25.86214947767393,0.5415031177312418,-1.6790636560680359,-1.0270721193528232e-06,-0.09994929929384089,-0.09994827222172153,-1.6790570733500523,-6.582717983594222e-06,1
88,0.09375,0.75,31.502955585687896,0.6596865550906916,-1.6790136679898031,-9.272457965892045e-07,-0.09994622296334921,-0.09994529571755262,-1.6790070702807887,-6.597709014455333e-06,1
89,-0.0,0.75,32.99875140932691,0.6910215148007356,-1.6790059383192948,-8.959461612612074e-07,-0.09994573133435569,-0.09994483538819443,-1.6789993370879306,-6.601231364200544e-06,1
90,0.1875,0.6875,20.59660772681024,0.4312231878346388,-1.6790935919153125,-1.8822860097245098e-06,-0.09995193751081421,-0.09995005522480449,-1.6790870264835251,-6.565431787342035e-06,1
91,0.1875,0.75,27.162641646363898,0.5687811299552163,-1.6790268243880182,-9.329798946744461e-07,-0.09994701252088811,-0.09994607954099344,-1.6790202379350494,-6.586452968804224e-06,1
92,0.28125,0.5625,7.456105384988132,0.1560072209845525,-1.6793673370608673,-2.2488873192116898e-05,-0.09998884376181971,-0.0999663548886276,-1.6793608487840719,-6.488276795391101e-06,1
93,0.28125,0.625,10.622973434377592,0.22234763484170392,-1.6792135812798603,-1.0340567537348022e-05,-0.09996754132352814,-0.0999572007559908,-1.6792070661241765,-6.515155683839424e-06,1
94,0.375,0.5625,4.4385210519036224,0.09292450864607932,-1.679108010710817,-6.602596140270478e-05,-0.10001694642293213,-0.09995092046152942,-1.6791015618207634,-6.448890053523115e-06,1
95,0.375,0.625,6.347874787673932,0.13291154830420823,-1.6790656344874286,-2.5826846448584462e-05,-0.09997422318547144,-0.09994839633902286,-1.6790591584289445,-6.4760584841394575e-06,1
96,0.28125,0.6875,14.933814318333757,0.31266193402759423,-1.6790957371980195,-3.339133249458115e-06,-0.09995352351222975,-0.09995018437898029,-1.6790891961781842,-6.5410198353266225e-06,1
97,0.28125,0.75,20.615922625351246,0.4317026694216712,-1.6790180414609555,-2.3538097249087286e-08,-0.09994558150930999,-0.09994555797121274,-1.679011475948373,-6.565512582490385e-06,1
98,0.375,0.6875,9.244943458040977,0.1936017080973518,-1.6789950747075069,-2.54157207324468e-06,-0.0999467360399735,-0.09994419446790026,-1.6789885701008735,-6.504606633317422e-06,1
99,0.375,0.75,13.446821424996935,0.28163388877574536,-1.6789347255296796,7.592665506095386e-06,-0.09993300773728109,-0.09994060040278718,-1.6789281924643615,-6.533065318059528e-06,1
100,0.09375,0.8125,39.87135291829178,0.8350044813306146,-1.6789721661550505,-8.01441727649177e-07,-0.09994362563389592,-0.09994282419216827,-1.6789655504817336,-6.6156733169453474e-06,1
101,-0.0,0.8125,41.473115955259296,0.8685699961254174,-1.6789618429521764,-8.293041586782124e-07,-0.09994303881489186,-0.09994220951073318,-1.6789552242881085,-6.61866406792555e-06,1
102,0.09375,0.875,49.64289762130136,1.039714741574338,-1.6789429213812488,-7.592317388116498e-07,-0.0999418415636284,-0.09994108233188959,-1.678936288516952,-6.632864296696184e-06,1
103,-0.0,0.875,51.32079300858834,1.0749013504087592,-1.6789247499760982,-8.008612937260295e-07,-0.09994080136407124,-0.09994000050277752,-1.6789181145877545,-6.635388343667614e-06,1
104,0.1875,0.8125,35.17031317200349,0.7365263244046137,-1.6789879617808279,-5.484542908718026e-07,-0.09994431347071409,-0.09994376501642321,-1.678981355633588,-6.606147239907045e-06,1
105,0.1875,0.875,44.67594904282714,0.9356257878219515,-1.6789716035372424,-4.699377726957721e-07,-0.09994326009248722,-0.09994279015471452,-1.6789649786776772,-6.624859565151908e-06,1
106,0.09375,0.9375,60.73616791159424,1.2721166146391034,-1.6789204622530194,-7.580471224066798e-07,-0.09994050234714713,-0.09993974430002472,-1.6789138105709396,-6.65168207980571e-06,1
107,-0.0,0.9375,62.45706253323132,1.3082626158104524,-1.678886623321072,-7.874608280999951e-07,-0.09993851732377479,-0.09993772986294669,-1.6788799695174674,-6.653803604539377e-06,1
108,0.09375,1.0,72.7526029178022,1.5238718357861252,-1.678900093480943,-7.684797216356287e-07,-0.09993929828634451,-0.09993852980662288,-1.6788934079797633,-6.685501179770625e-06,1
109,-0.0,1.0,74.4762088518306,1.5602011478544147,-1.6788369680642004,-7.567866489033293e-07,-0.0999355288567787,-0.0999347720701298,-1.678830280785083,-6.687279117345568e-06,1
110,0.1875,0.9375,55.608975495386794,1.1645875778305512,-1.678972740624791,-5.289928020069112e-07,-0.0999433856362657,-0.0999428566434637,-1.6789660956395027,-6.64498528823998e-06,1
111,0.1875,1.0,67.58813347101588,1.4154111874906712,-1.6789878290645883,-6.360828130880236e-07,-0.09994438880827028,-0.09994375272545719,-1.6789811491544464,-6.6799101419157125e-06,1
112,0.28125,0.8125,27.856484319581682,0.5833739167707243,-1.6789792971072799,1.0555858658278794e-06,-0.09994219470724497,-0.0999432502931108,-1.6789727086625166,-6.58844476331133e-06,1
113,0.28125,0.875,36.76353759670463,0.7699145491086159,-1.678974768422103,1.0211809824411944e-06,-0.09994195824909546,-0.0999429794300779,-1.6789681583638354,-6.610058267630947e-06,1
114,0.375,0.8125,19.266449132891896,0.4035494100126341,-1.6789049634840907,9.6735984360663e-06,-0.09992915354601495,-0.09993882714445101,-1.6788984030354297,-6.56044866098604e-06,1
115,0.375,0.875,26.94616049636413,0.5643957235870513,-1.678913177737265,8.043437480065307e-06,-0.09993127112324274,-0.0999393145607228,-1.6789065912684087,-6.586468856317751e-06,1
116,0.28125,0.9375,47.30070206271239,0.9905339692549271,-1.6789982130466363,5.744510187533081e-07,-0.09994379920618135,-0.0999443736572001,-1.6789915803486215,-6.632698014819027e-06,1
117,0.28125,1.0,59.12025147052541,1.2379196938134243,-1.679043800585595,6.497324323007092e-08,-0.09994702014203938,-0.09994708511528261,-1.6790371308396037,-6.669745991283449e-06,1
