id,mesh,branch,bias_V,contact,component,reference_delta_dex,candidate_delta_dex,error_dex,pass
P1,M0,forward,0.44,Anode,electron,0.2898058188777963,0.28980603898321905,2.2010542277683953e-07,True
P1,M0,forward,0.44,Anode,hole,0.16834940175488455,0.1683494389008612,3.714597665571695e-08,True
P1,M0,forward,0.44,Cathode,total,0.25617277686975826,0.2561729339839264,1.5711416812003165e-07,True
P1,M0,forward,0.44,Cathode,electron,0.28960947624652755,0.2896096554720017,1.7922547412840828e-07,True
P1,M0,forward,0.44,Cathode,hole,0.16864476528694766,0.1686448637114055,9.842445783392328e-08,True
P1,M0,forward,0.46,Anode,total,0.25620537464943205,0.25620561675673864,2.421073065916879e-07,True
P1,M0,forward,0.46,Anode,electron,0.2898063108554551,0.28980662271743063,3.118619755215768e-07,True
P1,M0,forward,0.46,Anode,hole,0.1684256678771389,0.1684257643254254,9.644828649624237e-08,True
P1,M0,forward,0.46,Cathode,total,0.25620537464943566,0.25620561584123286,2.411917972011679e-07,True
P1,M0,forward,0.46,Cathode,electron,0.2896604804055759,0.28966076382776895,2.8342219304811067e-07,True
P1,M0,forward,0.46,Cathode,hole,0.16864510490330709,0.1686452439467399,1.3904343282300502e-07,True
P1,M0,forward,0.48,Anode,total,0.25622856791285176,0.2562289233653774,3.5545252563551344e-07,True
P1,M0,forward,0.48,Anode,electron,0.28980700568098167,0.2898074474769775,4.4179599584248663e-07,True
P1,M0,forward,0.48,Anode,hole,0.16847945706472267,0.16847962397715077,1.6691242810118467e-07,True
P1,M0,forward,0.48,Cathode,total,0.2562285679128478,0.2562289224508507,3.5453800290019544e-07,True
P1,M0,forward,0.48,Cathode,electron,0.2896966297415243,0.289697051797241,4.2205571665343555e-07,True
P1,M0,forward,0.48,Cathode,hole,0.1686455762064448,0.1686457726282109,1.9642176610212836e-07,True
P1,M0,forward,0.5,Anode,total,0.2562453303407952,0.256245842300155,5.119593597946448e-07,True
P1,M0,forward,0.5,Anode,electron,0.28980798744592023,0.28980861319579565,6.257498754158597e-07,True
P1,M0,forward,0.5,Anode,hole,0.1685176454364949,0.16851790277553572,2.5733904082669845e-07,True
P1,M0,forward,0.5,Cathode,total,0.2562453303407952,0.25624584138652107,5.110457258483692e-07,True
P1,M0,forward,0.5,Cathode,electron,0.28972256016062403,0.28972317225949,6.120988659819027e-07,True
P1,M0,forward,0.5,Cathode,hole,0.1686462333917412,0.16864651106342424,2.776716830354964e-07,True
P1,M0,forward,0.52,Anode,total,0.25625778233210833,0.2562585130668351,7.30734726783755e-07,True
P1,M0,forward,0.52,Anode,electron,0.28980937505687393,0.2898102611882909,8.861314169661405e-07,True
P1,M0,forward,0.52,Anode,hole,0.16854505787264334,0.16854543672464076,3.788519974123883e-07,True
P1,M0,forward,0.52,Cathode,total,0.2562577823321096,0.2562585121541055,7.298219958928875e-07,True
P1,M0,forward,0.52,Cathode,electron,0.28974155448076067,0.28974243122652216,8.767457614911045e-07,True
P1,M0,forward,0.52,Cathode,hole,0.1686471531896291,0.16864754592783726,3.9273820814922367e-07,True
P1,M0,forward,0.54,Anode,total,0.2562674754646498,0.2562685138325688,1.0383679190373307e-06,True
P1,M0,forward,0.54,Anode,electron,0.28981133672399434,0.28981259131087134,1.2545868769975321e-06,True
P1,M0,forward,0.54,Anode,hole,0.16856511031257537,0.1685656565038888,5.461913134274798e-07,True
P1,M0,forward,0.54,Cathode,total,0.25626747546465156,0.25626851292088665,1.0374562350867755e-06,True
P1,M0,forward,0.54,Cathode,electron,0.28975598265968383,0.2897572308488983,1.2481892144866613e-06,True
P1,M0,forward,0.54,Cathode,hole,0.16864844423983547,0.1686489997784734,5.555386379252347e-07,True
P1,M0,forward,0.56,Anode,total,0.2562755986266102,0.25627707088120305,1.4722545928491648e-06,True
P1,M0,forward,0.56,Anode,electron,0.2898141103720347,0.28981588625971716,1.7758876824647274e-06,True
P1,M0,forward,0.56,Anode,hole,0.16858026286048194,0.16858104259306064,7.797325786984555e-07,True
P1,M0,forward,0.56,Cathode,total,0.25627559862661325,0.25627706997096045,1.471344347192538e-06,True
P1,M0,forward,0.56,Cathode,electron,0.28976761716521143,0.28976938874512964,1.7715799182083103e-06,True
P1,M0,forward,0.56,Cathode,hole,0.16865026004958558,0.168651045924121,7.858745354194507e-07,True
P1,M0,forward,0.58,Anode,total,0.25628313412496323,0.2562852191638698,2.0850389065851793e-06,True
P1,M0,forward,0.58,Anode,electron,0.2898180325755187,0.28982054587974126,2.5133042225733426e-06,True
P1,M0,forward,0.58,Anode,hole,0.16859234454299202,0.16859345229902684,1.1077560348182747e-06,True
P1,M0,forward,0.58,Cathode,total,0.2562831341249584,0.25628521825596945,2.084131011048651e-06,True
P1,M0,forward,0.58,Cathode,electron,0.28977786643903025,0.2897803768894272,2.510450396953079e-06,True
P1,M0,forward,0.58,Cathode,hole,0.16865281774593013,0.1686539293715882,1.1116256580789852e-06,True
P1,M0,forward,0.6,Anode,total,0.2562909841842177,0.2562939230114093,2.938827191600879e-06,True
P1,M0,forward,0.6,Anode,electron,0.28982357895990374,0.28982711900135816,3.5400414544195513e-06,True
P1,M0,forward,0.6,Anode,hole,0.1686027922299985,0.1686043621711958,1.5699411972935895e-06,True
P1,M0,forward,0.6,Cathode,total,0.25629098418421387,0.2562939342301275,2.9500459136078128e-06,True
P1,M0,forward,0.6,Cathode,electron,0.28978795755465064,0.28979151188773533,3.5543330846876664e-06,True
P1,M0,forward,0.6,Cathode,hole,0.16865642376551224,0.16865799595830447,1.5721927922318635e-06,True
P1,M0,forward,0.62,Anode,total,0.25630008341635857,0.2563042567216829,4.173305324317589e-06,True
P1,M0,forward,0.62,Anode,electron,0.28983141931847484,0.28983644951058274,5.0301921079021206e-06,True
P1,M0,forward,0.62,Anode,hole,0.16861283537496416,0.16861505697555995,2.221600595792017e-06,True
P1,M0,forward,0.62,Cathode,total,0.256300083416357,0.25630425672168344,4.1733053264270126e-06,True
P1,M0,forward,0.62,Cathode,electron,0.2897990911362655,0.28980412013685525,5.029000589740207e-06,True
P1,M0,forward,0.62,Cathode,hole,0.16866150880212205,0.16866373149866948,2.2226965474270166e-06,True
P1,M0,forward,0.64,Anode,total,0.25631150588613416,0.2563174046119514,5.898725817243822e-06,True
P1,M0,forward,0.64,Anode,electron,0.289842487397257,0.2898495976346828,7.11023742583361e-06,True
P1,M0,forward,0.64,Anode,hole,0.16862364634366978,0.1686267852893542,3.138945684433292e-06,True
P1,M0,forward,0.64,Cathode,total,0.2563115058861377,0.2563174046119525,5.898725814801331e-06,True
P1,M0,forward,0.64,Cathode,electron,0.28981258280618594,0.2898196922488846,7.109442698660651e-06,True
P1,M0,forward,0.64,Cathode,hole,0.1686686704731289,0.1686718096947605,3.1392216316150634e-06,True
P1,M0,forward,0.66,Anode,total,0.25632656083241606,0.2563348829605487,8.322128132620676e-06,True
P1,M0,forward,0.66,Anode,electron,0.28985805191052794,0.28986808555915955,1.0033648631613268e-05,True
P1,M0,forward,0.66,Anode,hole,0.16863646118970163,0.16864088443123446,4.4232415328249175e-06,True
P1,M0,forward,0.66,Cathode,total,0.2563265608324149,0.2563348829605479,8.322128133009254e-06,True
P1,M0,forward,0.66,Cathode,electron,0.2898299886224511,0.28984002164228767,1.0033019836597212e-05,True
P1,M0,forward,0.66,Cathode,hole,0.16867871227621142,0.16868313523767411,4.422961462691166e-06,True
P1,M0,forward,0.68,Anode,total,0.25634682839439105,0.25635851965216705,1.1691257776003106e-05,True
P1,M0,forward,0.68,Anode,electron,0.28987973105947684,0.28989383408254926,1.4103023072420395e-05,True
P1,M0,forward,0.68,Anode,hole,0.16865263818035156,0.1686588354920739,6.197311722327958e-06,True
P1,M0,forward,0.68,Cathode,total,0.2563468283943881,0.25635851965216844,1.1691257780332975e-05,True
P1,M0,forward,0.68,Cathode,electron,0.289853165271524,0.2898672675962382,1.4102324714215797e-05,True
P1,M0,forward,0.68,Cathode,hole,0.1686926334220107,0.16869883014596931,6.19672395860138e-06,True
P1,M0,forward,0.7,Anode,total,0.2563739793412942,0.2563902497252086,1.6270383914385178e-05,True
P1,M0,forward,0.7,Anode,electron,0.2899092792439688,0.2899289272593133,1.964801534448668e-05,True
P1,M0,forward,0.7,Anode,hole,0.1686735311331662,0.16868210768622371,8.576553057526581e-06,True
P1,M0,forward,0.7,Cathode,total,0.25637397934129497,0.25639024972520974,1.6270383914773756e-05,True
P1,M0,forward,0.7,Cathode,electron,0.28988409745987864,0.28990374443389855,1.9646974019904562e-05,True
P1,M0,forward,0.7,Cathode,hole,0.16871144099879792,0.16872001694940378,8.575950605854699e-06,True
P1,M0,forward,0.72,Anode,total,0.25640904782004775,0.2564312621296999,2.221430965215765e-05,True
P1,M0,forward,0.72,Anode,electron,0.2899477906779227,0.28997467310817854,2.688243025583681e-05,True
P1,M0,forward,0.72,Anode,hole,0.1686999091043196,0.16871149056937254,1.1581465052951101e-05,True
P1,M0,forward,0.72,Cathode,total,0.2564090478200471,0.25643126212970085,2.2214309653767472e-05,True
P1,M0,forward,0.72,Cathode,electron,0.2899241248540539,0.2899510055913931,2.6880737339196603e-05,True
P1,M0,forward,0.72,Cathode,hole,0.16873553465237287,0.16874711587072996,1.1581218357092915e-05,True
P1,M0,forward,0.74,Anode,total,0.25645091135599474,0.2564802272996669,2.9315943672170164e-05,True
P1,M0,forward,0.74,Anode,electron,0.2899940581512468,0.29002966678947645,3.56086382296561e-05,True
P1,M0,forward,0.74,Anode,hole,0.16873073697716032,0.16874572042067792,1.498344351760772e-05,True
P1,M0,forward,0.74,Cathode,total,0.25645091135599474,0.25648022729966774,2.931594367300283e-05,True
P1,M0,forward,0.74,Cathode,electron,0.2899722615710966,0.29000786762930975,3.560605821312235e-05,True
P1,M0,forward,0.74,Cathode,hole,0.1687635463913312,0.16877853029753037,1.4983906199167452e-05,True
