id,mesh,branch,bias_V,contact,component,reference_A_per_um,candidate_A_per_um,absolute_error_A_per_um,relative_error,log_error_dex,pass
P0,original,forward,0.28,Anode,hole,1.00158821715157e-14,1.0010556479963352e-14,5.3256915523477215e-18,0.0005317246610082461,0.00023098650222126306,True
P0,original,forward,0.28,Cathode,total,-3.21152541175451e-14,-3.20980064692652e-14,1.7247648279896353e-17,0.0005370547035613731,0.00023330254796133563,True
P0,original,forward,0.28,Cathode,electron,-2.24165311652355e-14,-2.2404515598121093e-14,1.201556711440652e-17,0.0005360136689230833,0.00023285018965676923,True
P0,original,forward,0.28,Cathode,hole,-9.69872295230955e-15,-9.693490871144107e-15,5.232081165442501e-18,0.0005394608332632689,0.00023434807957914162,True
P0,original,forward,0.3,Anode,total,6.93205319848536e-14,6.928315901320085e-14,3.73729716527491e-17,0.0005391327876842466,0.00023420553432015068,True
P0,original,forward,0.3,Anode,electron,4.78441685068456e-14,4.781829372886716e-14,2.5874777978441863e-17,0.0005408136202584369,0.0002349359050127476,True
P0,original,forward,0.3,Anode,hole,2.1476363478008e-14,2.1464865284333698e-14,1.1498193674300927e-17,0.0005353882972820416,0.00023257844863199803,True
P0,original,forward,0.3,Cathode,total,-6.93205319848536e-14,-6.928315795667732e-14,3.737402817627992e-17,0.0005391480288184469,0.00023421215703122174,True
P0,original,forward,0.3,Cathode,electron,-4.83232254515192e-14,-4.829720717696184e-14,2.601827455736294e-17,0.0005384217281494601,0.00023389655861879766,True
P0,original,forward,0.3,Cathode,hole,-2.09973065333344e-14,-2.098595077971548e-14,1.1355753618920137e-17,0.0005408195380151374,0.00023493847645246932,True
P0,original,forward,0.32,Anode,total,1.49759540531653e-13,1.496785313521226e-13,8.100917953037795e-17,0.0005409283391414782,0.00023498575375231892,True
P0,original,forward,0.32,Anode,electron,1.03577221637047e-13,1.035210722075285e-13,5.614942951850064e-17,0.0005421021015147348,0.00023549578846566752,True
P0,original,forward,0.32,Anode,hole,4.61823188946055e-14,4.6157459144594113e-14,2.4859750011385057e-17,0.0005382958371605046,0.00023384185540701355,True
P0,original,forward,0.32,Cathode,total,-1.49759540531653e-13,-1.496785290666103e-13,8.10114650426788e-17,0.000540943600354839,0.00023499238520027622,True
P0,original,forward,0.32,Cathode,electron,-1.04302747580661e-13,-1.0424637816402461e-13,5.636941663638769e-17,0.0005404403809477333,0.00023477372155888734,True
P0,original,forward,0.32,Cathode,hole,-4.54567929509916e-14,-4.54321509025857e-14,2.4642048405899828e-17,0.0005420982609236687,0.00023549411961347463,True
P0,original,forward,0.34,Anode,total,3.23734621527858e-13,3.2355899631763543e-13,1.7562521022257487e-16,0.0005424974610182741,0.000235667584081165,True
P0,original,forward,0.34,Anode,electron,2.24226128873053e-13,2.2410430235815867e-13,1.2182651489432467e-16,0.0005433198865208858,0.0002360249529573786,True
P0,original,forward,0.34,Anode,hole,9.95084926548045e-14,9.945469395947672e-14,5.379869532778319e-17,0.000540644259524774,0.0002348623127872221,True
P0,original,forward,0.34,Cathode,total,-3.23734621527858e-13,-3.2355899137203397e-13,1.756301558240323e-16,0.0005425127377329921,0.00023567422227530245,True
P0,original,forward,0.34,Cathode,electron,-2.25328816911566e-13,-2.2520665076850967e-13,1.221661430563328e-16,0.0005421683064367169,0.0002355245564941232,True
P0,original,forward,0.34,Cathode,hole,-9.84058046162922e-14,-9.835234060352433e-14,5.346401276786359e-17,0.000543301413736035,0.00023601692596770068,True
P0,original,forward,0.36,Anode,total,7.00102163638155e-13,6.997213828288476e-13,3.807808093074027e-16,0.0005438932045697943,0.00023627407724799697,True
P0,original,forward,0.36,Anode,electron,4.8539424525636e-13,4.851299607135897e-13,2.642845427702322e-16,0.0005444739927451156,0.00023652644768354952,True
P0,original,forward,0.36,Anode,hole,2.14707918381795e-13,2.1459142211525789e-13,1.1649626653712003e-16,0.0005425802057750177,0.00023570353917944903,True
P0,original,forward,0.36,Cathode,total,-7.00102163638154e-13,-6.997213721259424e-13,3.807915122115859e-16,0.0005439084922017138,0.00023628072019529374,True
P0,original,forward,0.36,Cathode,electron,-4.87077891259549e-13,-4.868130775523191e-13,2.648137072299084e-16,0.0005436783561354404,0.0002361807189916093,True
P0,original,forward,0.36,Cathode,hole,-2.13024272378604e-13,-2.129082945736233e-13,1.1597780498071823e-16,0.0005444346960359197,0.00023650937204267147,True
