id,mesh,branch,bias_V,vela_kcl_A_per_um,sentaurus_kcl_A_per_um,electron_continuity_ratio,hole_continuity_ratio,continuity_pass,electron_source_ratio_qualified,electron_port_net_A_per_um,electron_port_net_over_through_current,hole_source_ratio_qualified,hole_port_net_A_per_um,hole_port_net_over_through_current,converged,pass
P0,M0,forward,0.1,8.630114519824393e-22,0.0,0.00012406448850261998,7.873922590377703e-06,True,True,-7.426630348600205e-18,0.2642102049705941,True,7.427493360052181e-18,0.45004443335089833,True,True
P0,M0,forward,0.12,4.742494435470427e-21,1.9721522630525295e-31,0.0004145609419999436,4.987607871610263e-06,True,True,-1.1574309134899537e-17,0.2035033054497316,True,1.1579051629335007e-17,0.368077342299983,True,True
P0,M0,forward,0.14,1.8555711363468405e-20,9.860761315262648e-31,0.0010453224605115896,1.2876461370457226e-06,True,True,-1.7754498610866663e-17,0.15257439079565274,True,1.777305432223012e-17,0.29115850960974216,True,True
P0,M0,forward,0.16,5.3009615483824287e-20,9.860761315262648e-31,0.0019613644974268677,1.7660299037067837e-07,True,True,-2.697632616254389e-17,0.11192520669195523,True,2.7029335778027763e-17,0.22348701690392286,True,True
P0,M0,forward,0.18,1.2276246461937698e-19,9.860761315262648e-31,0.003002879325881816,1.674870510411477e-08,True,True,-4.0759049276226794e-17,0.08075404762107222,True,4.088181174084605e-17,0.16723949374144334,True,True
P0,M0,forward,0.2,2.627419035249418e-19,1.00579765415679e-29,0.004262324948826252,1.3437409075186832e-09,True,True,-6.138013825212326e-17,0.05755476371687536,True,6.164288015564815e-17,0.12264114722593356,True,True
P0,M0,forward,0.22,5.564970477831123e-19,0.0,0.005996234372682892,1.5157420331804668e-10,True,True,-9.225125981830447e-17,0.040659320013502136,True,9.280775686608817e-17,0.08857226378029141,True,True
P0,M0,forward,0.24,1.1869206500396164e-18,1.9721522630525295e-29,0.00849765489915327,9.204168214240381e-11,True,True,-1.38489340257196e-16,0.028545298007679708,True,1.3967626090723561e-16,0.06327130213403272,True,True
P0,M0,forward,0.26,3.908526307728612e-22,0.0,1.8584089375289458e-06,2.5853597591670384e-14,True,True,-2.1031534719930228e-16,0.020198902734096125,True,2.1031573805193542e-16,0.04486629219521007,True,True
P0,M0,forward,0.28,8.394414484625454e-22,0.0,2.647532354398758e-06,1.151445633488188e-14,True,True,-3.170647693780514e-16,0.0141518243571805,True,3.1706560881949514e-16,0.03167312521078228,True,True
P0,M0,forward,0.3,1.8125155682380702e-21,0.0,3.784633176363145e-06,2.2869456277693653e-14,True,True,-4.789126921032105e-16,0.009915950017823865,True,4.78914504618785e-16,0.022311554173522433,True,True
P0,M0,forward,0.32,3.918400706871204e-21,0.0,5.402393874639734e-06,1.492914301324621e-13,True,True,-7.253043236088053e-16,0.0069575973456664116,True,7.253082420095248e-16,0.015713781812326084,True,True
P0,M0,forward,0.34,8.47577672748751e-21,0.0,7.688802243204317e-06,6.539158509642625e-14,True,True,-1.1023448801779769e-15,0.004894814948961351,True,1.1023533559546917e-15,0.011083975145545414,True,True
P0,M0,forward,0.36,1.8337927144762718e-20,2.0194839173657902e-27,1.0895150341474716e-05,6.221105735870687e-14,True,True,-1.6831092037131564e-15,0.003457403431120011,True,1.6831275416403517e-15,0.007843405505446033,True,True
P0,M0,forward,0.38,3.967816468587186e-20,0.0,1.534810578261658e-05,8.064554990412425e-14,True,True,-2.585176238140878e-15,0.0024556734522390446,True,2.585215916305362e-15,0.005578036018638887,True,True
P0,M0,forward,0.4,8.585171181744095e-20,1.0097419586828951e-26,2.1455900103135246e-05,1.1352717863681752e-13,True,True,-4.001224486330819e-15,0.0017571104428333302,True,4.001310338042435e-15,0.003994838757522115,True,True
P0,M0,forward,0.42,1.8574776378728247e-19,0.0,2.9700292619494452e-05,3.7658325712158756e-13,True,True,-6.253886684246154e-15,0.001269423492808125,True,6.254072432010345e-15,0.002887889302877922,True,True
P0,M0,forward,0.44,4.0184913664087424e-19,0.0,4.060214941566973e-05,5.119662738565868e-13,True,True,-9.896837174379201e-15,0.0009284481409368517,True,9.897239023517457e-15,0.002113125923702217,True,True
P0,M0,forward,0.46,8.692726738374174e-19,1.0339757656912846e-25,5.4647394088431586e-05,6.267736869261212e-13,True,True,-1.5906069218834533e-14,0.0006896115593420364,True,1.590693849150514e-14,0.001570039902803303,True,True
P0,M0,forward,0.48,1.880132870848559e-18,9.04728794979874e-26,7.216680376251958e-05,1.1216392551029293e-12,True,True,-2.6050719928496988e-14,0.0005219556545442975,True,2.6052600061367836e-14,0.0011886121160353791,True,True
P0,M0,forward,0.5,4.065734029335907e-18,0.0,9.318342496341062e-05,6.38061295176749e-15,True,True,-4.3627451675873605e-14,0.0004039713504737542,True,4.363151740992233e-14,0.0009200921851991252,True,True
P0,M0,forward,0.52,8.789608832978072e-18,9.822769774067204e-25,0.00011727310947453157,1.9470220680352514e-12,True,True,-7.494111891192598e-14,0.000320703751781407,True,7.494990852075896e-14,0.000730534847775141,True,True
P0,M0,forward,0.54,1.899367035383495e-17,2.9985297205047253e-24,0.00014350809263325066,1.4965977467100216e-12,True,True,-1.3233362411712947e-13,0.00026174378490193527,True,1.3235261778750915e-13,0.0005962886994266956,True,True
P0,M0,forward,0.56,4.1012430163667936e-17,0.0,0.0001705370064928226,4.5210000313804236e-12,True,True,-2.4044892385015153e-13,0.00021983567961981752,True,2.404899362802118e-13,0.0005008552113154549,True,True
P0,M0,forward,0.58,8.843018427224791e-17,9.926167350636332e-24,0.0001967823309948957,3.3124311583611337e-12,True,True,-4.4929229193784954e-13,0.0001899108491457778,True,4.49380722121915e-13,0.0004327031853567567,True,True
P0,M0,forward,0.6,1.9013515409346832e-16,9.926167350636332e-24,0.00022063870845501454,1.918048081916754e-13,True,True,-8.615587438127673e-13,0.0001684156690032139,True,8.617488789672743e-13,0.00038374493066126717,True,True
P0,M0,forward,0.62,2.9778502051908996e-23,0.0,1.0357564879560784e-11,3.3046846015625464e-12,True,True,-1.690150904378347e-12,0.00015287652760006995,True,1.6901509043510501e-12,0.00034826535289696886,True,True
P0,M0,forward,0.64,6.617444900424222e-24,0.0,4.302572544935405e-12,7.353456770907568e-12,True,True,-3.3751348567612515e-12,0.00014141322958832097,True,3.3751348567529797e-12,0.00032215202408789306,True,True
P0,M0,forward,0.66,1.9852334701272664e-22,1.9852334701272664e-22,1.6134718346429205e-13,3.1454306991327155e-12,True,True,-6.822905801447229e-12,0.00013270395589012692,True,6.822905801235471e-12,0.00030230993924270744,True,True
P0,M0,forward,0.68,2.117582368135751e-22,0.0,3.9553791235209946e-12,1.9713505187054903e-12,True,True,-1.3852879163774081e-11,0.0001256208395155049,True,1.3852879163582175e-11,0.00028617003822996925,True,True
P0,M0,forward,0.7,1.5881867761018131e-22,0.0,8.63642797191669e-12,4.667496712603947e-12,True,True,-2.791770382137646e-11,0.00011907475526284356,True,2.791770382124411e-11,0.00027125132307273954,True,True
P0,M0,forward,0.72,1.2705494208814505e-21,1.0587911840678754e-21,1.5040104717743893e-11,8.029508799538168e-12,True,True,-5.4838010887315625e-11,0.00011190492904069709,True,5.4838010886071545e-11,0.00025490980732377244,True,True
P0,M0,forward,0.74,2.117582368135751e-22,0.0,2.543910877357042e-12,7.94601671881885e-12,True,True,-1.0236920585931245e-10,0.00010306446996377982,True,1.0236920585931245e-10,0.00023476167089714377,True,True
