pair,id,branch,bias_V,contact,component,tool,relative_error,absolute_error_A_per_um,pass
M0/M1,P0,forward,0.26,Anode,electron,candidate,0.00027714871790970777,2.826660403921138e-18,True
M0/M1,P0,forward,0.26,Anode,hole,reference,0.0031340586719616668,1.4653072234720465e-17,True
M0/M1,P0,forward,0.26,Anode,hole,candidate,0.00314096781209789,1.4677534529207145e-17,True
M0/M1,P0,forward,0.26,Cathode,total,reference,0.0011704064703392206,1.741571847400003e-17,True
M0/M1,P0,forward,0.26,Cathode,total,candidate,0.0011769909722368355,1.7504218898356552e-17,True
M0/M1,P0,forward,0.26,Cathode,electron,reference,0.0015577279450515167,1.6202811832800018e-17,True
M0/M1,P0,forward,0.26,Cathode,electron,candidate,0.001564377574818971,1.6263196129880158e-17,True
M0/M1,P0,forward,0.26,Cathode,hole,reference,0.00027082920313828906,1.2129066412094776e-18,True
M0/M1,P0,forward,0.26,Cathode,hole,candidate,0.000277258187772589,1.2410227684740276e-18,True
M0/M1,P0,forward,0.28,Anode,total,reference,0.000864040571962564,2.7724927066502675e-17,True
M0/M1,P0,forward,0.28,Anode,total,candidate,0.0008700219744466438,2.790169659464841e-17,True
M0/M1,P0,forward,0.28,Anode,electron,reference,0.00027158321080931775,6.000188843697609e-18,True
M0/M1,P0,forward,0.28,Anode,electron,candidate,0.0002774561399557644,6.126598982484393e-18,True
M0/M1,P0,forward,0.28,Anode,hole,reference,0.0021737438520822677,2.172473822274038e-17,True
M0/M1,P0,forward,0.28,Anode,hole,candidate,0.002179955369794392,2.1775097612159283e-17,True
M0/M1,P0,forward,0.28,Cathode,total,reference,0.000864040571962564,2.7724927066502675e-17,True
M0/M1,P0,forward,0.28,Cathode,total,candidate,0.0008700235637995311,2.790174679135718e-17,True
M0/M1,P0,forward,0.28,Cathode,electron,reference,0.0011205400803264403,2.5090506694101363e-17,True
M0/M1,P0,forward,0.28,Cathode,electron,candidate,0.0011265659441841648,2.5211761542966125e-17,True
M0/M1,P0,forward,0.28,Cathode,hole,reference,0.00027169929002197695,2.634420372429712e-18,True
M0/M1,P0,forward,0.28,Cathode,hole,candidate,0.0002775813144919119,2.689985248386319e-18,True
M0/M1,P0,forward,0.3,Anode,total,reference,0.0006619313142805444,4.585507789779812e-17,True
M0/M1,P0,forward,0.3,Anode,total,candidate,0.0006673614826378152,4.620607605221061e-17,True
M0/M1,P0,forward,0.3,Anode,electron,reference,0.00027244118278348616,1.3031171637302821e-17,True
M0/M1,P0,forward,0.3,Anode,electron,candidate,0.000277796722858749,1.3280076331507354e-17,True
M0/M1,P0,forward,0.3,Anode,hole,reference,0.0015307130743162684,3.282390626049845e-17,True
M0/M1,P0,forward,0.3,Anode,hole,candidate,0.0015363051977449692,3.2925999720706415e-17,True
M0/M1,P0,forward,0.3,Cathode,total,reference,0.0006619313142891135,4.585507789839134e-17,True
M0/M1,P0,forward,0.3,Cathode,total,candidate,0.0006673630395146232,4.620618256492948e-17,True
M0/M1,P0,forward,0.3,Cathode,electron,reference,0.0008312084222230372,4.013331279999741e-17,True
M0/M1,P0,forward,0.3,Cathode,electron,candidate,0.0008366666715299556,4.037488323149712e-17,True
M0/M1,P0,forward,0.3,Cathode,hole,reference,0.00027257423216850755,5.721765098400241e-18,True
M0/M1,P0,forward,0.3,Cathode,hole,candidate,0.00027794404788203115,5.831299333426045e-18,True
M0/M1,P0,forward,0.32,Anode,total,reference,0.0005292096072179569,7.92122676509895e-17,True
M0/M1,P0,forward,0.32,Anode,total,candidate,0.0005341310730616226,7.990527551626865e-17,True
M0/M1,P0,forward,0.32,Anode,electron,reference,0.00027330218133842806,2.830014613400023e-17,True
M0/M1,P0,forward,0.32,Anode,electron,candidate,0.00027817086246412735,2.878853824487411e-17,True
M0/M1,P0,forward,0.32,Anode,hole,reference,0.0011036325423879909,5.091212151679994e-17,True
M0/M1,P0,forward,0.32,Anode,hole,candidate,0.001108670404167925,5.111673727143241e-17,True
M0/M1,P0,forward,0.32,Cathode,total,reference,0.0005292096072179569,7.92122676509895e-17,True
M0/M1,P0,forward,0.32,Cathode,total,candidate,0.0005341326121148412,7.990550354177659e-17,True
M0/M1,P0,forward,0.32,Cathode,electron,reference,0.0006407106246967588,6.678508857900567e-17,True
M0/M1,P0,forward,0.32,Cathode,electron,candidate,0.0006456477619895798,6.726301250646243e-17,True
M0/M1,P0,forward,0.32,Cathode,hole,reference,0.000273459181872821,1.242717907229938e-17,True
M0/M1,P0,forward,0.32,Cathode,hole,candidate,0.00027834935862271714,1.2642491035314157e-17,True
M0/M1,P0,forward,0.34,Anode,total,reference,0.0004423743106518652,1.4314855469099237e-16,True
M0/M1,P0,forward,0.34,Anode,total,candidate,0.000446822714110859,1.445089405543474e-16,True
M0/M1,P0,forward,0.34,Anode,electron,reference,0.0002741690740060411,6.145901999700331e-17,True
M0/M1,P0,forward,0.34,Anode,electron,candidate,0.00027857806901164696,6.241315781990675e-17,True
M0/M1,P0,forward,0.34,Anode,hole,reference,0.0008216047627849944,8.16895346939007e-17,True
M0/M1,P0,forward,0.34,Anode,hole,candidate,0.0008261410513633209,8.209578273444065e-17,True
M0/M1,P0,forward,0.34,Cathode,total,reference,0.000442374310654987,1.431485546920021e-16,True
M0/M1,P0,forward,0.34,Cathode,total,candidate,0.00044682424364846617,1.4450943122254878e-16,True
M0/M1,P0,forward,0.34,Cathode,electron,reference,0.0005157671240618702,1.161572856540134e-16,True
M0/M1,P0,forward,0.34,Cathode,electron,candidate,0.0005202214115581699,1.170964056329048e-16,True
M0/M1,P0,forward,0.34,Cathode,hole,reference,0.00027436058765441056,2.6991269036802254e-17,True
M0/M1,P0,forward,0.34,Cathode,hole,candidate,0.00027880036390444185,2.7413025589606112e-17,True
M0/M1,P0,forward,0.36,Anode,total,reference,0.00038574964573695643,2.6996002447202028e-16,True
M0/M1,P0,forward,0.36,Anode,total,candidate,0.00038975540106355144,2.7261393831325247e-16,True
M0/M1,P0,forward,0.36,Anode,electron,reference,0.00027504365194303053,1.3346789643897356e-16,True
M0/M1,P0,forward,0.36,Anode,electron,candidate,0.0002790164907702079,1.35321504329748e-16,True
M0/M1,P0,forward,0.36,Anode,hole,reference,0.000636115119641842,1.3649212803400597e-16,True
M0/M1,P0,forward,0.36,Anode,hole,candidate,0.0006401948714518748,1.3729243398363069e-16,True
M0/M1,P0,forward,0.36,Cathode,total,reference,0.0003857496457197812,2.6996002446000435e-16,True
M0/M1,P0,forward,0.36,Cathode,total,candidate,0.0003897569252662123,2.726149968550303e-16,True
M0/M1,P0,forward,0.36,Cathode,electron,reference,0.00043407039354223645,2.1133435777695154e-16,True
M0/M1,P0,forward,0.36,Cathode,electron,candidate,0.00043807295197621754,2.1316625945355384e-16,True
M0/M1,P0,forward,0.36,Cathode,hole,reference,0.0002752822700661577,5.862566668199258e-17,True
M0/M1,P0,forward,0.36,Cathode,hole,candidate,0.0002793002572691656,5.944873740150168e-17,True
M0/M1,P0,forward,0.38,Anode,total,reference,0.00034895737393290645,5.282906682201078e-16,True
