gate_V,drain_V,electrons_m3_all_silicon_rms_percent,electrons_m3_silicon_oxide_interface_rms_percent,holes_m3_all_silicon_rms_percent,holes_m3_silicon_oxide_interface_rms_percent,conduction_band_eV_max_meV,valence_band_eV_max_meV
8,22.666666666666668,0.07411301572722177,0.12292005289088119,0.06559107104537047,0.001972791173891063,7.951914019463047,7.9488175131157135
8,24.0,0.07290861377152534,0.14647494191810814,0.09266683875613302,0.0020637613153297383,8.980262564993069,8.977098504210801
8,25.333333333333332,0.07353529198373635,0.17340851517701095,0.13263861916949865,1.1013373599985732,10.11294299966714,10.109262977227473
8,26.666666666666668,0.08700907882165576,0.20077655874129025,0.16023186142175458,1.2848595374116294,11.27584397971404,11.271916723337938
8,28.0,0.09157548057542014,0.2283643896612788,0.17320345084737018,1.1070476949127814,12.539585405061615,12.535123867884579
8,29.333333333333332,0.09740771598332917,0.26056626236831404,0.13016777920666855,0.9313581628723935,13.79580945051373,13.791733117216154
8,30.666666666666668,0.10330110686086139,0.30234204177880347,0.23062639111572705,0.7869185212047075,15.190423534757969,15.186121722273072
8,32.0,0.11472369731255772,0.3548394535228962,0.26798276821972017,0.6834801491861678,16.653918731314832,16.649075237850752
8,33.333333333333336,0.12861847798977477,0.4170954390678716,0.28947746143298186,0.5521819386897023,18.067459226756455,18.062029295553117
8,34.666666666666664,0.1435587276746565,0.4879246648854098,0.3884108985713856,0.510174734274879,19.741017647799453,19.736629468507516
8,36.0,0.16040835950214083,0.5657320078637128,0.40696513697644887,0.47567301146239127,21.343431038328475,21.33848269700067
8,37.333333333333336,0.17912234264687504,0.6115632147463826,0.3729089083701414,0.4500082100803492,23.064475865787415,23.060854646690387
8,38.666666666666664,0.19994599056416584,0.6900980887426453,0.3854597019966969,0.43099968552581674,24.812222879745605,24.808081397971193
8,40.0,0.21641879552116478,1.1358324224891747,0.3661563214693417,0.4177268742144342,26.65314081948722,26.650437964896412
