node_id,donors_cm3,acceptors_cm3
208,5000000000000008,25604620900646580
209,5000000000000008,8372701947612365
210,5000000000000008,20651507763870504
211,5000000000000008,58515435843978760
212,5000000000000008,1.2390490492036179e+17
213,5000000000000008,47195855089097528
214,5000000000000008,99935988737089760
215,5000000000000008,3.147026681370073e+17
216,5000000000000008,3.2528972902517933e+17
217,5000000000000008,5.720716165682905e+17
218,5000000000000008,5.9131694763859059e+17
219,5000000000000008,2.8526026458403616e+17
220,5000000000000008,5.1855073765133312e+17
221,5000000000000008,9.6353243110229926e+17
222,5000000000000008,9.9594708006665882e+17
223,5000000000000008,1.5036551073506117e+18
224,5000000000000008,1.5542402780152632e+18
225,5000000000000008,8.7338794379678067e+17
226,5000000000000008,1.3629787643847834e+18
227,5000000000000008,2.4309303395379229e+17
228,5000000000000008,4.418984615977008e+17
229,5000000000000008,1.960676433179608e+17
230,5000000000000008,3.5641494345643283e+17
231,5000000000000008,7.4428355938678912e+17
232,5000000000000008,1.161502964782113e+18
233,5000000000000008,6.0030483422659046e+17
234,5000000000000008,9.368147877694487e+17
235,5000000000000008,7390774236531778
236,5000000000000008,6466180290454807
237,5000000000000008,18229555104403976
238,5000000000000008,15949017808880000
239,5000000000000008,5621459421676206
240,5000000000000008,4871137078531247
241,5000000000000008,13865489732873494
242,5000000000000008,12014798308311032
243,5000000000000008,36449035195300440
244,5000000000000008,77179878696525840
245,5000000000000008,27457979648140972
246,5000000000000008,58141553737708680
247,5000000000000008,4222180273596589
248,5000000000000008,3675006964689216
249,5000000000000008,10414127870096462
250,5000000000000008,9064509323086524
251,5000000000000008,2863194563533422
252,5000000000000008,7062150919530069
253,5000000000000008,20715546455867372
254,5000000000000008,43864627802335736
255,5000000000000008,16139463288902856
256,5000000000000008,34174891384372024
257,5000000000000008,1.5142169621600598e+17
258,5000000000000008,2.7525681638037565e+17
259,5000000000000008,1.1406979171624699e+17
260,5000000000000008,2.0735791830119341e+17
261,5000000000000008,4.6361130631763162e+17
262,5000000000000008,7.2349563550495846e+17
263,5000000000000008,3.4925011719264416e+17
264,5000000000000008,5.4502755227319053e+17
265,5000000000000008,86059429710044832
266,5000000000000008,1.5644022774454746e+17
267,5000000000000008,67048822942142768
268,5000000000000008,1.2188243829192334e+17
269,5000000000000008,2.6349014458211347e+17
270,5000000000000008,4.111935300238807e+17
271,5000000000000008,2.0528493054868045e+17
272,5000000000000008,3.2036050299677824e+17
273,5000000000000115,7248221590025.751
274,5000000000001855,6340432771723.2354
275,5000000000000115,87621379033224.609
276,5000000000000008,887100385572748
277,5000000000000115,780643141260918.38
278,5000000000001855,76647417056115.25
279,5000000000000470,725513277598226.12
280,5000000000001855,682873073676834.88
281,5000000000028536,4709788760694.2246
282,5000000000028536,56935095187362.398
283,5000000000007362,608681128169065.12
284,5000000000028536,507250536860400.38
285,5000000000394324,2626503960135.9087
286,5000000000394324,31750946927454.008
287,5000000000107513,393201331416781.56
288,5000000000394324,282877982758726.06
289,5000000000000008,2579331553072060
290,5000000000000008,2361527139328078.5
291,5000000000000008,6361994721316165
292,5000000000000008,5824773932903680
293,5000000000000044,2198096414426783.2
294,5000000000000115,2078130045031754.5
295,5000000000000044,5421667396295562
296,5000000000000115,5125766930177695
297,5000000000000008,14539363632816346
298,5000000000000008,13311627877603160
299,5000000000000008,28187023863368624
300,5000000000000044,12390389684985150
301,5000000000000115,11714154531630918
302,5000000000000115,24804415835407428
303,5000000000000221,1991957036211663.5
304,5000000000000470,1931370251727361
305,5000000000000221,4913218750173274
306,5000000000000470,4763779721052926
307,5000000000001855,1817858860655397.8
308,5000000000001855,4483800642772331
309,5000000000000221,11228408250166190
310,5000000000000470,10886888258325290
311,5000000000000470,23052701138945784
312,5000000000001855,10247038996102122
313,5000000000001855,21697837061533424
314,5000000000000008,55301032299555032
315,5000000000000008,1.0052711383981259e+17
316,5000000000000115,48664584382323216
317,5000000000000115,88463271131528224
318,5000000000000008,1.6931644847338707e+17
319,5000000000000008,2.6422934432442026e+17
320,5000000000000115,1.4899748253188982e+17
321,5000000000000115,2.3252027473029917e+17
322,5000000000000470,45227838755037488
323,5000000000000470,82215899164921952
324,5000000000001855,42569687171895024
325,5000000000001855,77383868085383536
326,5000000000000470,1.3847511902940699e+17
327,5000000000000470,2.1609944123141286e+17
